Question,Expected_answer,Generated_answer
What are the taxonomic characteristics of Paralepidonotus indicus,"Paralepidonotus indicus Potts, 1910. The body is oblong, up to 16 mm long, with 36 segments, completely covered by 15 pairs of elytra. The prostomium lacks lateral peaks; lateral antennae are inserted subterminally; eyes are large, with the anterior pair antero-lateral; the median antenna is about three times the prostomial length; lateral antennae are about twice the prostomial length. Each elytron has a transverse arc of dark pigment and is densely covered with small dark spines; the posterior margin is fringed with papillae; no large vesicles are present. The notosetae are stout and spinulose to their tips. The neurosetae are slender, with long blades bearing multiple rows of spinules; tips are bidentate; the secondary tooth is most developed in the mid-series, where it is straight and slender. The antennae and dorsal cirri are slender and densely papillose, each bearing a subterminal swelling; ventral lamellae are present. The geographical distribution is the Maldives.","Paralepidonotus indicus has an oblong body up to 16 mm long with 36 segments, completely covered by 15 pairs of elytra. The prostomium lacks lateral peaks, with subterminally inserted lateral antennae. Eyes are large, the anterior pair antero-lateral. The median antenna is three times the prostomium length, laterals twice. Antennae and dorsal cirri are slender, densely papillose, each with a subterminal swelling. Ventral lamellae are present. Each elytron has a transverse arc of dark pigment and is densely covered with small dark spines; the posterior margin is fringed with papillae, but lacks large vesicles. Notosetae are stout and spinulose to their tips; neurosetae are slender with long blades bearing many rows of spinules and bidentate tips, with the secondary tooth best developed among the middle setae. Support: The description includes body shape, segment and elytra count, prostomium and antennae features, elytra ornamentation, and setae characteristics."
What are the taxonomic characteristics of Malmgrenia purpurea,"Malmgrenia purpurea Day, 1960. The body is oblong, up to 17 mm long, with 38 segments; purple. The prostomium is longer than broad, with small eyes; the anterior pair lateral and positioned about halfway back; the median antenna very stout and as long as the prostomium; the lateral antennae about half that length; the facial tubercle well developed. The elytra are oval with smooth margins; the surface is smooth except for a small anterior patch of rounded tubercles. The notosetae are stout, curved, transparent; the convex margin lightly serrated; the tip abruptly pointed. The neurosetae are numerous, fairly short and slender; blades with ~25 rows of fine spinules; the tips sharp and hooked, some with a minute secondary tooth. The notopodium is small, with about 12 setae. The neuropodium is large, each with a pointed presetal lip; the ventral lamellae rudimentary. The tentacular cirri are short, each bearing a single seta. The antennae and cirri are smooth, swollen, and darkly pigmented. The ecology is probably commensal with Spatangus capensis. The geographical distribution is South Africa.","Malmgrenia purpurea has an oblong body up to 17 mm long with 38 segments, purple coloration, a prostomium longer than broad with small eyes, a stout median antenna as long as the prostomium, shorter lateral antennae, a well-marked facial tubercle, short tentacular cirri with a single seta, smooth and pigmented antennae and cirri, oval elytra with smooth margins and a small anterior patch of tubercles, small notopodia with about 12 setae, large neuropodia with a pointed presetal lip, rudimentary ventral lamellae, stout curved notosetae with lightly serrated margins, and numerous short, slender neurosetae with about 25 rows of fine spinules and sharp hooked tips, some with a minute secondary tooth. Support: Detailed morphological features and distinguishing characters are described for identification."
What are the taxonomic characteristics of Malmgrenia marquesensis,"Malmgrenia marquesensis Monro, 1928. The body is described as oblong, up to 20 mm long; fresh specimens have mauve markings, and preserved specimens are mottled brown with a white transverse ridge across each segment. The prostomium is described as hexagonal; the anterior pair of eyes is large and positioned halfway back on the lateral prominences; the median antenna is longer than the prostomium; the lateral antennae are inserted subterminally, strongly tapered, and borne on broad ceratophores; the facial tubercle is well developed; the palps are stout; and the tentacular cirri are slender. The elytra are described as fifteen pairs, oval to rounded, covering the dorsum; smooth except for a small anterior patch of rounded tubercles; posterior elytra may be missing, and their positions are sticky with adherent sand grains. The notosetae are described as sabre-like, with a single row of 8–12 denticles on the distal third of the blade and an abruptly pointed tip. The neurosetae are described as bidentate and slenderer than the notosetae; the superior series has long, well-marked spinous rows, with truncate tips bearing two subequal teeth; the inferior series has shorter, less distinct spinous rows, a more hooked terminal tooth, and a much smaller secondary tooth. The cirri and antennae are described as smooth; the dorsal cirri are evenly tapered and reach the ends of the neurosetae. The ecology is described as commensal with the asteroid Linckia multiforis. The geographical distribution is described as South Pacific.","Malmgrenia marquesensis is characterized by an oblong body up to 20 mm long, with mauve markings when fresh and mottled brown in alcohol. The prostomium is hexagonal with large anterior eyes on lateral prominences, a median antenna longer than the prostomium, and subterminal, tapered lateral antennae on broad ceratophores. It has stout palps, slender tentacular cirri, smooth antennae and cirri, and 15 pairs of oval to rounded elytra with a small anterior patch of rounded tubercles. Notosetae are sabre-like with a single row of 8–12 denticles on the distal third, and neurosetae are bidentate and more slender. The animal is commensal with Linckia multiforis (Asteroidea) and is endemic to the S. Pacific (Marquesas Is.) [chunk_002615][chunk_002613]. Support: The description includes body shape, prostomium features, setae types, elytra, and commensal relationship, as well as distribution and type locality."
What are the taxonomic characteristics of Gastrolepidia clavigera,"Gastrolepidia clavigera Schmarda, 1861. The body is up to 30 mm long; purple when fresh, fading to dark brown in alcohol. The prostomium is bilobed without frontal peaks; anterior eyes lateral and positioned halfway back; median antenna with a subterminal swelling about half the prostomial size; lateral antennae slightly smaller; occipital fold well developed. The elytra are twenty-one pairs, large, oval to reniform; margins smooth; surface without tubercles or papillae but bearing white blister-like swellings near the posterior margin. The ventral structures are broad and rounded, as wide as the segment is long at the base of each parapodium. The antennae and cirri are smooth, each with a pear-shaped swelling just before the filiform tip. The ecology is commensal with Holothuria atra. The notopodium notosetae are well developed; notosetae serrated to their blunt tips. The neuropodium neurosetae are large; neurosetae unidentate with slightly hooked tips. The geographical distribution is tropical Indo-West Pacific, from Sri Lanka and Madagascar to New Caledonia.","Gastrolepidia clavigera has an elongate, non-tapered body with over 40 segments and 21 pairs of large, oval to reniform elytra covering the dorsum. The prostomium is bilobed without frontal peaks, with lateral eyes, a median antenna with a subterminal swelling, and club-shaped antennae and cirri. It has a well-marked facial tubercle, a small nuchal fold, large scale-like ventral lamellae at parapodial bases, serrated notosetae, and unidentate neurosetae. The animal is commensal with Holothuria atra. Support: Detailed morphological features and commensal relationship are described for Gastrolepidia clavigera."
What are the taxonomic characteristics of Acholoe squamosa,"Acholoe squamosa Delle Chiaje, 1825. The body is very long and fragile, reaching about 50 mm with more than 100 segments. The prostomium is with frontal peaks; lateral antennae inserted subterminally; median antenna short and tapered; antennae and cirri bearing a few small papillae; occipital collar present. The elytra are up to 45 pairs covering the dorsum; each oval with smooth margins; surface glabrous except for a small anterior patch of rounded tubercles. The notosetae are few, curved, weakly serrated, and bluntly pointed. The neurosetae are stout and unidentate, with a few weak spinous rows and a long, curved, sharply pointed apex. The cirri are dorsal cirri short; cirrigerous segments possess T-shaped ciliated processes aligned with the elytrophores. The ecology is commensal with asteroids. The geographical distribution is English Channel; Mediterranean; Angola.","Acholoe squamosa is characterized by a very long, fragile body reaching up to 50 mm with more than 100 segments, a prostomium with frontal peaks, subterminally inserted lateral antennae, a short tapered median antenna, and an occipital collar. It has up to 45 pairs of oval elytra with smooth margins and a small anterior patch of rounded tubercles, short dorsal cirri, T-shaped ciliated processes on cirrigerous segments, few curved weakly serrated notosetae, and stout unidentate neurosetae with a long curved apex. It is commensal with asteroids. Support: Detailed morphological features and commensal relationship are described for Acholoe squamosa."
What are the taxonomic characteristics of Polyeunoa laevis,"Polyeunoa laevis McIntosh, 1885, features an elongate, flattened body up to 35 mm long with approximately 80 segments. It has a pale coloration with intermittent reddish cross-bars. The prostomium is bilobed, with prominent frontal peaks, and lateral antennae positioned ventrally. The median antenna is notably long, around five times the prostomium's length, while the lateral antennae are about twice as long. The anterior eyes are located laterally, roughly halfway back. The elytra number about 20 pairs, are deciduous, oval-shaped with smooth margins, and have a glabrous surface. The notopodium is small, pointed, with few stout, weakly serrated notosetae ending in long, pointed tips. The large, pointed neuropodium bears numerous long neurosetae, featuring rows of small spinules, long blade-shaped tips, and sometimes a tiny secondary tooth. The antennae and cirri are long, slender, and smooth. These worms are found in Antarctic and Subantarctic regions.","Polyeunoa laevis is characterized by an elongate, flattened body up to 35 mm long with 80 segments, pale coloration with reddish cross-bars, a bilobed prostomium with frontal peaks, ventrally inserted lateral antennae, a long median antenna, long slender smooth antennae and cirri, small pointed notopodia with few weakly serrated notosetae, large pointed neuropodia with numerous long neurosetae bearing rows of spinules and blade-shaped tips, and about 20 pairs of oval, glabrous, entire-margined elytra. Support: These features distinguish P. laevis within the genus Polyeunoa and the family Aphroditidae."
What are the taxonomic characteristics of Polynoe erythrotaenia,"Polynoe erythrotaenia Schmarda, 1861, has a body approximately 50 mm long with many segments. The posterior naked segments feature lateral swellings but no median row. The prostomium is roughly square, with poorly defined frontal peaks, partially obscuring the anterior eyes. The lateral antennae are about as long as the prostomium, while the median antenna is roughly half that length. Its elytra are evenly split between dark and pale colors, with a few small chitinous tubercles near the front edge. The notosetae are few (4–8), thick, blunt, and lightly serrated. The neurosetae are stout, unidentate, with a few rows of spinules. The antennae and cirri are adorned with tiny, club-shaped papillae.","Polynoe erythrotaenia is characterized by a body about 50 mm long with numerous segments, posterior naked segments with lateral rows of swellings but no median row, a roughly square prostomium with poorly marked frontal peaks, lateral antennae equal to prostomial length and a median antenna half as long, antennae and cirri covered with small clavate papillae, elytra half dark and half pale with a few small chitinous tubercles near the anterior margin, few (4-8) stout, blunt, weakly serrated notosetae, and stout, unidentate neurosetae with few rows of spinules. The elytra are a key distinguishing feature, being half dark and half pale. Support: Detailed morphological description and distinguishing features are provided, including elytra coloration, prostomium shape, and setae structure."
What are the taxonomic characteristics of Polynoe scolopendrina,"Polynoe scolopendrina Savigny, 1822, is approximately 50 mm long with numerous segments. Its front half is covered with speckled elytra, while the back half is bare. Each of the posterior segments features a central swelling and two side swellings, often pigmented. The prostomium is hexagonal, with large front-facing eyes that are usually hidden behind small prostomial peaks. The median antenna is about twice as long as the prostomium, and the lateral antennae are slightly shorter than the prostomium itself. The elytra are speckled and blotched, with a tiny fringe along their external edges. Their surface is adorned with conical chitinous tubercles. Notosetae are numerous, serrated, and tapered, while neurosetae are notably bidentate. In adult posterior feet, one or two superior neurosetae may enlarge into unidentate structures, sometimes losing their spinules. The antennae and cirri are equipped with short papillae. This species is found in the North Atlantic from Scotland to Senegal, the Mediterranean, and the Red Sea.","Polynoe scolopendrina is characterized by a body about 50 mm long with numerous segments. The anterior half is covered with speckled and blotched elytra, while the posterior half is naked, each segment having a median and two lateral swellings. The prostomium is hexagonal with large anterior eyes, a median antenna twice the prostomial length, and shorter lateral antennae. Elytra have a microscopic fringe and conical chitinous tubercles. Notosetae are numerous, serrated, and tapered; neurosetae are strongly bidentate, with some posterior ones becoming unidentate in adults. Support: These features distinguish P. scolopendrina from related species and are key for its identification."
What are the taxonomic characteristics of Antinoe epitoca,"Antinoe epitoca Monro, 1930, measures about 30 mm in length and comprises 36 segments. Its bilobed prostomium features large anterior eyes located just below the prostomial peaks and above the bases of small lateral antennae. The median antenna is roughly twice the prostomial length, while each lateral antenna is about three-quarters that size. The elytra are sizable, oval-shaped, with smooth margins. The notopodium contains numerous long, fine, slightly serrated notosetae, although some may seem smooth. The neuropodium features a pointed presetal lobe; neurosetae are arranged in multiple rows of small, weak spinules and have long, tapering, hair-like tips. Both the antennae and cirri are smooth; dorsal cirri emerge from large cirrophores, and cirrostyles are elongated and tapered. The species is found in Angola.","Antinoe epitoca has a depressed, oblong body with 40–50 segments and 15–16 pairs of elytra. The prostomium is bilobed, with a large anterior pair of eyes immediately below the prostomial peaks and above the bases of small lateral antennae. The median antenna is twice the prostomial length, laterals are 3/4 the prostomium. Antennae and dorsal cirri are smooth. Elytra are large, oval, with entire margins and smooth surfaces. Dorsal cirri arise from large cirrophores and are long and tapered. Notosetae are numerous, long, fine, and minutely serrated or smooth. The neuropodium has a pointed presetal lobe; neurosetae have rows of small weak spinules and long tapering hair-like tips. Support: The description includes body shape, segment and elytra count, prostomial features, antennae, cirri, elytra, setae, and parapodial characteristics."
What are the taxonomic characteristics of Antinoe lactea,"Antinoe lactea Day, 1953, is characterized by a body that is broad and flattened, reaching up to 40 mm in length with 36 segments. It presents a creamy white coloration adorned with crescent-shaped brown markings on the prominent elytra. The prostomium is described as small, with poorly developed peaks, and the organism has small eyes. The anterior pair of eyes is positioned posterior to the prostomial peaks. The median antenna is slender, approximately twice the length of the prostomium, while the lateral antennae are about three-quarters the length of the prostomium. The palps are short and stout. The elytra comprise fifteen pairs, fully covering the dorsal surface, and are large, oval, and smooth, with the exception of a small anterior patch featuring minute tubercles. The dorsal cirri are long and slender. The notopodium bears notosetae of varied lengths; the shorter ones are fairly stout, while the longer ones are slender and closely serrated, tapering to fine tips. The neuropodium features a long, pointed presetal lip. Neurosetae are strongly spinulose, tapering to long, fine, hair-like tips.","Antinoe lactea is characterized by a broad, flattened body up to 40 mm long with 36 segments, creamy white color with crescentic brown marks on large elytra, a small prostomium with poorly developed peaks, small eyes, a slender median antenna twice the prostomial length, anterior eyes posterior to the prostomial peaks, short stout palps, long slender dorsal cirri, 15 pairs of large oval elytra with minute tubercles near the anterior margin, notosetae of varying length (short ones stout, long ones slender and closely serrated), neuropodium with a long pointed presetal lip, and neurosetae markedly spinulose to their long fine hair-like tips. Support: These features distinguish A. lactea from related species, especially the position of the anterior eyes and the well-marked serrations on the setae."
What are the taxonomic characteristics of Scalisetosus longicirrus,"Scalisetosus longicirrus Schmarda, 1861, has a body length of up to 15 mm comprising 45–50 segments. The anterior end is narrowed, with an arched dorsum often featuring two dark longitudinal stripes. The prostomium is brown, distinctly bilobed, lacking frontal peaks; the anterior eyes are set back and lateral. The median antenna is roughly twice the prostomial length, while the shorter lateral antennae arise ventrally. About 15 pairs of delicate elytra cover most of the back, leaving approximately 12 posterior segments exposed; each elytron has smooth surfaces and entire margins, with a few small anterior tubercles, and is mauve with clear specks. The notopodium is short and pointed, with sabre-shaped setae that have three to four small serrations or are smooth, ending in stumpy bidentate tips. The neuropodium is large, featuring a triangular presetal lobe and a shorter, rounded postsetal lip. Neurosetae include a few slender superior setae with faint serrations and bidentate tips, and many inferior falcate, unidentate setae with slight serrations beyond the spinous pocket. The antennae and cirri are smooth, slender, and taper to delicate tips, with dorsal cirri remarkably long — over twice the length of the neurosetae. The species is commensal with crinoids such as Tropiometra carinata and Lamprometra klunzingeri. Its distribution includes Japan, the tropical Indian Ocean, and the Red Sea.","Scalisetosus longicirrus is characterized by a body up to 15 mm long with 45-50 segments, a narrowed and arched anterior end often with two dark stripes, a brown, markedly bilobed prostomium without frontal peaks, lateral antennae ventral, median antenna twice the prostomial length, very long dorsal cirri, about 15 pairs of elytra covering most of the dorsum, notosetae sabre-shaped with three to four small serrations or smooth, and neurosetae mainly unidentate with vestigial serrations beyond the spinous pocket. Support: These features distinguish S. longicirrus from related species, especially in setal and prostomial morphology."
