Question,Expected_answer,Generated_answer,Generated_before_support,eval_exact_match,eval_token_f1,eval_rouge1_f,eval_rouge2_f,eval_rougeL_f,eval_bleu,eval_meteor
What are the taxonomic characteristics of Paralepidonotus indicus,"Paralepidonotus indicus Potts, 1910. The body is oblong, up to 16 mm long, with 36 segments, completely covered by 15 pairs of elytra. The prostomium lacks lateral peaks; lateral antennae are inserted subterminally; eyes are large, with the anterior pair antero-lateral; the median antenna is about three times the prostomial length; lateral antennae are about twice the prostomial length. Each elytron has a transverse arc of dark pigment and is densely covered with small dark spines; the posterior margin is fringed with papillae; no large vesicles are present. The notosetae are stout and spinulose to their tips. The neurosetae are slender, with long blades bearing multiple rows of spinules; tips are bidentate; the secondary tooth is most developed in the mid-series, where it is straight and slender. The antennae and dorsal cirri are slender and densely papillose, each bearing a subterminal swelling; ventral lamellae are present. The geographical distribution is the Maldives.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Malmgrenia purpurea,"Malmgrenia purpurea Day, 1960. The body is oblong, up to 17 mm long, with 38 segments; purple. The prostomium is longer than broad, with small eyes; the anterior pair lateral and positioned about halfway back; the median antenna very stout and as long as the prostomium; the lateral antennae about half that length; the facial tubercle well developed. The elytra are oval with smooth margins; the surface is smooth except for a small anterior patch of rounded tubercles. The notosetae are stout, curved, transparent; the convex margin lightly serrated; the tip abruptly pointed. The neurosetae are numerous, fairly short and slender; blades with ~25 rows of fine spinules; the tips sharp and hooked, some with a minute secondary tooth. The notopodium is small, with about 12 setae. The neuropodium is large, each with a pointed presetal lip; the ventral lamellae rudimentary. The tentacular cirri are short, each bearing a single seta. The antennae and cirri are smooth, swollen, and darkly pigmented. The ecology is probably commensal with Spatangus capensis. The geographical distribution is South Africa.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Malmgrenia marquesensis,"Malmgrenia marquesensis Monro, 1928. The body is described as oblong, up to 20 mm long; fresh specimens have mauve markings, and preserved specimens are mottled brown with a white transverse ridge across each segment. The prostomium is described as hexagonal; the anterior pair of eyes is large and positioned halfway back on the lateral prominences; the median antenna is longer than the prostomium; the lateral antennae are inserted subterminally, strongly tapered, and borne on broad ceratophores; the facial tubercle is well developed; the palps are stout; and the tentacular cirri are slender. The elytra are described as fifteen pairs, oval to rounded, covering the dorsum; smooth except for a small anterior patch of rounded tubercles; posterior elytra may be missing, and their positions are sticky with adherent sand grains. The notosetae are described as sabre-like, with a single row of 8–12 denticles on the distal third of the blade and an abruptly pointed tip. The neurosetae are described as bidentate and slenderer than the notosetae; the superior series has long, well-marked spinous rows, with truncate tips bearing two subequal teeth; the inferior series has shorter, less distinct spinous rows, a more hooked terminal tooth, and a much smaller secondary tooth. The cirri and antennae are described as smooth; the dorsal cirri are evenly tapered and reach the ends of the neurosetae. The ecology is described as commensal with the asteroid Linckia multiforis. The geographical distribution is described as South Pacific.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Gastrolepidia clavigera,"Gastrolepidia clavigera Schmarda, 1861. The body is up to 30 mm long; purple when fresh, fading to dark brown in alcohol. The prostomium is bilobed without frontal peaks; anterior eyes lateral and positioned halfway back; median antenna with a subterminal swelling about half the prostomial size; lateral antennae slightly smaller; occipital fold well developed. The elytra are twenty-one pairs, large, oval to reniform; margins smooth; surface without tubercles or papillae but bearing white blister-like swellings near the posterior margin. The ventral structures are broad and rounded, as wide as the segment is long at the base of each parapodium. The antennae and cirri are smooth, each with a pear-shaped swelling just before the filiform tip. The ecology is commensal with Holothuria atra. The notopodium notosetae are well developed; notosetae serrated to their blunt tips. The neuropodium neurosetae are large; neurosetae unidentate with slightly hooked tips. The geographical distribution is tropical Indo-West Pacific, from Sri Lanka and Madagascar to New Caledonia.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Acholoe squamosa,"Acholoe squamosa Delle Chiaje, 1825. The body is very long and fragile, reaching about 50 mm with more than 100 segments. The prostomium is with frontal peaks; lateral antennae inserted subterminally; median antenna short and tapered; antennae and cirri bearing a few small papillae; occipital collar present. The elytra are up to 45 pairs covering the dorsum; each oval with smooth margins; surface glabrous except for a small anterior patch of rounded tubercles. The notosetae are few, curved, weakly serrated, and bluntly pointed. The neurosetae are stout and unidentate, with a few weak spinous rows and a long, curved, sharply pointed apex. The cirri are dorsal cirri short; cirrigerous segments possess T-shaped ciliated processes aligned with the elytrophores. The ecology is commensal with asteroids. The geographical distribution is English Channel; Mediterranean; Angola.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Polyeunoa laevis,"Polyeunoa laevis McIntosh, 1885, features an elongate, flattened body up to 35 mm long with approximately 80 segments. It has a pale coloration with intermittent reddish cross-bars. The prostomium is bilobed, with prominent frontal peaks, and lateral antennae positioned ventrally. The median antenna is notably long, around five times the prostomium's length, while the lateral antennae are about twice as long. The anterior eyes are located laterally, roughly halfway back. The elytra number about 20 pairs, are deciduous, oval-shaped with smooth margins, and have a glabrous surface. The notopodium is small, pointed, with few stout, weakly serrated notosetae ending in long, pointed tips. The large, pointed neuropodium bears numerous long neurosetae, featuring rows of small spinules, long blade-shaped tips, and sometimes a tiny secondary tooth. The antennae and cirri are long, slender, and smooth. These worms are found in Antarctic and Subantarctic regions.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Polynoe erythrotaenia,"Polynoe erythrotaenia Schmarda, 1861, has a body approximately 50 mm long with many segments. The posterior naked segments feature lateral swellings but no median row. The prostomium is roughly square, with poorly defined frontal peaks, partially obscuring the anterior eyes. The lateral antennae are about as long as the prostomium, while the median antenna is roughly half that length. Its elytra are evenly split between dark and pale colors, with a few small chitinous tubercles near the front edge. The notosetae are few (4–8), thick, blunt, and lightly serrated. The neurosetae are stout, unidentate, with a few rows of spinules. The antennae and cirri are adorned with tiny, club-shaped papillae.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Polynoe scolopendrina,"Polynoe scolopendrina Savigny, 1822, is approximately 50 mm long with numerous segments. Its front half is covered with speckled elytra, while the back half is bare. Each of the posterior segments features a central swelling and two side swellings, often pigmented. The prostomium is hexagonal, with large front-facing eyes that are usually hidden behind small prostomial peaks. The median antenna is about twice as long as the prostomium, and the lateral antennae are slightly shorter than the prostomium itself. The elytra are speckled and blotched, with a tiny fringe along their external edges. Their surface is adorned with conical chitinous tubercles. Notosetae are numerous, serrated, and tapered, while neurosetae are notably bidentate. In adult posterior feet, one or two superior neurosetae may enlarge into unidentate structures, sometimes losing their spinules. The antennae and cirri are equipped with short papillae. This species is found in the North Atlantic from Scotland to Senegal, the Mediterranean, and the Red Sea.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Antinoe epitoca,"Antinoe epitoca Monro, 1930, measures about 30 mm in length and comprises 36 segments. Its bilobed prostomium features large anterior eyes located just below the prostomial peaks and above the bases of small lateral antennae. The median antenna is roughly twice the prostomial length, while each lateral antenna is about three-quarters that size. The elytra are sizable, oval-shaped, with smooth margins. The notopodium contains numerous long, fine, slightly serrated notosetae, although some may seem smooth. The neuropodium features a pointed presetal lobe; neurosetae are arranged in multiple rows of small, weak spinules and have long, tapering, hair-like tips. Both the antennae and cirri are smooth; dorsal cirri emerge from large cirrophores, and cirrostyles are elongated and tapered. The species is found in Angola.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Antinoe lactea,"Antinoe lactea Day, 1953, is characterized by a body that is broad and flattened, reaching up to 40 mm in length with 36 segments. It presents a creamy white coloration adorned with crescent-shaped brown markings on the prominent elytra. The prostomium is described as small, with poorly developed peaks, and the organism has small eyes. The anterior pair of eyes is positioned posterior to the prostomial peaks. The median antenna is slender, approximately twice the length of the prostomium, while the lateral antennae are about three-quarters the length of the prostomium. The palps are short and stout. The elytra comprise fifteen pairs, fully covering the dorsal surface, and are large, oval, and smooth, with the exception of a small anterior patch featuring minute tubercles. The dorsal cirri are long and slender. The notopodium bears notosetae of varied lengths; the shorter ones are fairly stout, while the longer ones are slender and closely serrated, tapering to fine tips. The neuropodium features a long, pointed presetal lip. Neurosetae are strongly spinulose, tapering to long, fine, hair-like tips.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Scalisetosus longicirrus,"Scalisetosus longicirrus Schmarda, 1861, has a body length of up to 15 mm comprising 45–50 segments. The anterior end is narrowed, with an arched dorsum often featuring two dark longitudinal stripes. The prostomium is brown, distinctly bilobed, lacking frontal peaks; the anterior eyes are set back and lateral. The median antenna is roughly twice the prostomial length, while the shorter lateral antennae arise ventrally. About 15 pairs of delicate elytra cover most of the back, leaving approximately 12 posterior segments exposed; each elytron has smooth surfaces and entire margins, with a few small anterior tubercles, and is mauve with clear specks. The notopodium is short and pointed, with sabre-shaped setae that have three to four small serrations or are smooth, ending in stumpy bidentate tips. The neuropodium is large, featuring a triangular presetal lobe and a shorter, rounded postsetal lip. Neurosetae include a few slender superior setae with faint serrations and bidentate tips, and many inferior falcate, unidentate setae with slight serrations beyond the spinous pocket. The antennae and cirri are smooth, slender, and taper to delicate tips, with dorsal cirri remarkably long — over twice the length of the neurosetae. The species is commensal with crinoids such as Tropiometra carinata and Lamprometra klunzingeri. Its distribution includes Japan, the tropical Indian Ocean, and the Red Sea.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Scalisetosus fragilis,"Scalisetosus fragilis Claparède, 1868 is characterized by a short, fragile, and depressed body approximately 15 mm long. Its prostomium is bilobed with rudimentary frontal peaks; the anterior eyes are large and positioned well back on the sides of the prostomium; the median antenna is about three times the length of the prostomium, while the lateral antennae are only slightly longer. The oval, delicate elytra are strongly deciduous, covering the body entirely when present, with surface covered by numerous tiny, weakly chitinized pedunculate tubercles and occasionally some large spherical vesicles; margins feature a very fine fringe. The notopodium is short and stout with stiff notosetae, roughly 10 coarse serrations, especially enlarged at the base; tips are pointed and have a minuscule flange. The neuropodium is long and pointed, with neurosetae that are long, transparent, featuring a large basal spinous pocket and smaller pockets that decrease in size to coarse serrations distally; each neuroseta ends in a strong, curved terminal tooth with a smaller secondary tooth. The antennae and cirri have short papillae and very long terminal filaments; dorsal cirri are long, extending well beyond the neurosetae. Geographically, this species is found in the Atlantic from Scotland, North Carolina, and the English Channel southward to Madeira and Morocco; also in the Mediterranean and Indian Ocean, including Maldives and Andaman Islands.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Gattyana mossambica,"Gattyana mossambica Day, 1962, is characterized by a pale body up to 15 mm long with 45 segments. Its prostomium has the first pair of eyes located well forward, ventro-lateral to the prostomial peaks. The lateral antennae are approximately half the length of the prostomium, while the median antenna is about twice as long. The elytra consist of fifteen pairs that cover most of the dorsum, featuring a network of brown pigment markings and smooth edges. The anterior elytra are densely covered with tiny, rounded tubercles, whereas the posterior elytra have only a small front patch of these tubercles. Notosetae are much finer than neurosetae; they appear smooth but have very closely spaced, tiny serrations extending to their fine, hairlike tips. Neurosetae are arranged in about 15 rows of delicate spinules reaching nearly to the blade tips. Two superior neurosetae are unidentate with tapered tips, while the others are bidentate. The blades are short and broad, almost split, with secondary teeth nearly as large as the apical ones. The antennae and cirri have tapered tips and tiny papillae; dorsal cirri are short, flattened, and do not reach the neurosetae tips. This species is found in Mozambique.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Eunoe hubrechti,"Eunoe hubrechti McIntosh, 1900, features a brown body up to 25 mm in length. Adults have 46 segments, while planktonic juveniles have fewer than 30. The posterior segments are tapered, with the last 9–10 lacking elytra. The prostomium has frontal peaks, with the first pair of large eyes located about one-third back; the median antenna is very long and slender, and the lateral antennae are shorter, roughly twice the length of the prostomium. The pale elytra have smooth margins and are covered with tiny conical tubercles and do not cover the last 9–10 segments. Notosetae are very long, stout, and held erect, appearing crystalline, with ridges instead of serrations that partially encircle the shaft, leaving the tips exposed. Neurosetae are slender and transparent, with long blades and rows of spinules; tips are long, naked, and usually unidentate with occasional secondary teeth. All antennae and cirri are smooth, with dorsal cirri being long and slender. The pygidium has a large caudal appendage. The species is found in the Atlantic Ocean from Greenland to the Antarctic and is bathypelagic.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Eunoe assimilis,"Eunoe assimilis McIntosh, 1925, has a broad body that tapers toward the back, measuring up to 30 mm with 30–70 segments. Its prostomium features small frontal peaks, no eyes, and long palps. The elytra are large, delicate, mainly pale with smooth edges, and each has a patch of small rounded tubercles near the front. Notosetae are few, very stout with closely packed rows of faint serrations; they have long, pointed, nearly blade-like tips. Neurosetae are also few and unidentate, with short, slightly swollen blades and about 20 rows of short spinules before the long, slightly hooked, bare tips, with no secondary tooth. The antennae and cirri appear smooth but are actually covered with tiny papillae. The lateral antennae are strongly ventral, about 1.5 times the prostomial length, while the median antenna is located on the front dorsal side, attached to a thick ceratophore, with a very slender ceratostyle over three times the prostomial length. The dorsal cirri are tapered and extend to the ends of the neurosetae.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Eunoe macrophthalma,"Eunoe macrophthalma McIntosh, 1925, has a short, slightly tapered body. Its elytra are diaphanous, smooth, and fully margined, each with a patch of tiny tubercles. The notosetae are stout, forming rows of small serrations. The neurosetae are unidentate with faint spinules, featuring long, nearly straight tips without secondary teeth. The dorsal cirri are very long and slender, and the antennae and cirri are also slender and smooth, with no additional ornamentation noted. The prostomium's eyes are extremely large, covering most of the prostomium, with short lateral antennae. It is found in the South Atlantic west of Cape Town at approximately 2200 meters, known from only a single specimen.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Harmothoe dictyophora,"Harmothoe dictyophora Grube, 1878 features a body up to 25 mm long with 36 segments, and the dorsum is fully covered by 15 pairs of tough brown elytra. The prostomium has well-defined frontal peaks, with anterior eyes positioned laterally and lateral antennae slightly longer than the prostomium. The median antenna is about twice as long as the prostomial. The large, durable elytra have surfaces divided into polygonal areas and are densely covered with conical chitinous tubercles of various sizes, including large multi-pointed spines with 2–3 points. Margins are fringed with long papillae. Notosetae are numerous, strongly serrated, and end in long pointed tips. Neurosetae are strongly bidentate, with the secondary tooth located well back along the blade. The antennae and cirri are densely covered with long papillae. The species is found in the tropical Indo-Pacific and the Red Sea.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Harmothoe antilopis,"Harmothoe antilopis McIntosh, 1876 is characterized by a body length of up to 25 mm with 35 segments, flesh pink in alcohol, and pale elytra. The prostomium is hexagonal, featuring large anterior eyes just below small prostomial peaks. The median antenna measures approximately 1.4 times the prostomial length, while the lateral antennae are slightly over half the prostomial length, markedly tapered, and papillose. The large, oval elytra have lateral margins fringed with slender papillae, a surface with some soft papillae, and are mainly covered by numerous cylindrical tubercles with 4–5 blunt projections forming a crown-like shape. Near the posterior margin, additional capstan-shaped tubercles are decorated with three saucer-like depressions with raised rims. Notosetae are stout, with closely set strong serrations extending nearly to the faintly flanged tips. Neurosetae resemble blades with 15–20 rows of fine spinules; the tips are bidentate in the superior series, featuring a broad blade-like terminal tooth and a shorter secondary tooth, while inferior neurosetae become unidentate. Dorsal cirri are about as long as the neurosetae, covered with slender papillae, as are the antennae and cirri. The species is distributed in the North Atlantic from Sweden to Senegal and also found in the Mediterranean.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Harmothoe gilchristi,"Harmothoe gilchristi Day, 1960 features an oblong body up to 16 mm long with 38 segments, where elytra reach within six segments of the pygidium. The prostomium has large frontal peaks, with the first pair of lateral eyes positioned halfway back, and lateral antennae are about three-quarters the prostomium's length. The median antenna is roughly twice as long. The elytra are mottled brown, densely covered with truncate-cylindrical or capstan-shaped tubercles, and have a small fringe along the margins. Notosetae are numerous, serrated with blunt tips, and feature a shallow longitudinal groove. Neurosetae are bidentate, with blades that are fairly long, showing around 15 rows of well-developed spinules before the long, naked tip. The terminal tooth is strong, with a long, slender secondary tooth. Antennae and cirri are papillose, each with two dark transverse bands. The species is found in South Africa.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Harmothoe goreensis,"Harmothoe goreensis Augener, 1918 has a small body roughly 10 mm long with 35–36 segments. It has a rusty brown body with prominently dark cirrophores. The prostomium features sharp frontal peaks. The anterior eyes are lateral and nearly halfway back; the median antenna is about twice the length of the prostomium, while the lateral antennae are roughly one-third that length. Fifteen to sixteen pairs of oval, brown elytra with central dark spots or rings cover the dorsum, with margins fringed by papillae. The surface has a few soft papillae and many short, blunt conical tubercles. Notosetae are stout, strongly serrated, with flanged, pointed tips. Neurosetae are strongly bidentate, with a broad terminal tooth and a secondary tooth about half its length; inferior neurosetae have a weak or missing secondary tooth. The antennae and cirri are papillose. Geographically, this species is found in Senegal, Angola, and also recorded from South West Africa, the Cape region, Natal, and Mozambique.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Harmothoe lagiscoides serrata,"Harmothoe lagiscoides serrata Day, 1963 is characterized by a pale brown body tapering towards the posterior, approximately 20 mm in length. The prostomium features well-defined frontal peaks, with the first pair of eyes positioned laterally and about halfway back. Lateral antennae are ventrally rooted, tapered, papillose, and approximately two-thirds the length of the prostomium; the median antenna was not observed. The elytra are large and delicate, mottled brown, with a surface bearing a few long, slender papillae. The postero-lateral margins are densely fringed with numerous papillae, and the elytral tubercles are composed of sharp, curved thorns of uniform size, except for a row of larger thorns along the posterior margin. Notosetae are strongly serrated with pointed tips. Neurosetae have at least 20 well-developed spinules, with long, naked, blade-like distal ends that are bidentate at the tips. The dorsal cirri are long, extending beyond the neurosetal tips, covered with long papillae; ventral cirri are very small. This species is found in South Africa.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
