Question,Expected_answer,Generated_answer,Citations
"If the diagnostic characters are as follows The body Oblong, up to 16 mm long with 36 segments, completely covered by 15 pairs of elytra. The prostomium Without lateral peaks; lateral antennae inserted subterminally; eyes large, with the anterior pair antero-lateral; median antenna about three times the prostomial length; lateral antennae about twice the prostomial length. The elytra Each elytron with a transverse arc of dark pigment and densely covered with small dark spines; posterior margin fringed with papillae; no large vesicles present. The notosetae Stout and spinulose to their tips. The neurosetae Slender, with long blades bearing multiple rows of spinules; tips bidentate; secondary tooth most developed in the mid-series, where it is straight and slender. The cirri and antennae Antennae and dorsal cirri slender, densely papillose, each bearing a subterminal swelling; ventral lamellae present. Identify the polychaete species.",Paralepidonotus indicus,"Paralepidonotus indicus Potts, 1910",[chunk_000148]
"If the diagnostic characters are as follows The body Oblong, up to 17 mm long with 38 segments; purple. The prostomium Longer than broad, with rather small eyes; anterior pair lateral and positioned about halfway back; median antenna very stout and as long as the prostomium; lateral antennae about half that length; facial tubercle well developed. The elytra Oval with smooth margins; surface smooth except for a small anterior patch of rounded tubercles. The notosetae Stout, curved, transparent; convex margin lightly serrated; tip abruptly pointed. The neurosetae Numerous, fairly short and slender; blades with ~25 rows of fine spinules; tips sharp and hooked, some with a minute secondary tooth. The notopodium Small, with about 12 setae. The neuropodium Large, each with a pointed presetal lip; ventral lamellae rudimentary. The tentacular cirri Short, each bearing a single seta. Identify the polychaete species.",Malmgrenia purpurea,"Malmgrenia purpurea Day, 1960",[chunk_000149]
"If the diagnostic characters are as follows The body Oblong, up to 20 mm long; fresh specimens with mauve markings, preserved specimens mottled brown with a white transverse ridge across each segment. The prostomium Hexagonal; anterior pair of eyes large and positioned halfway back on lateral prominences; median antenna longer than the prostomium; lateral antennae inserted subterminally, strongly tapered, and borne on broad ceratophores; facial tubercle well developed; palps stout; tentacular cirri slender. The elytra Fifteen pairs, oval to rounded, covering the dorsum; smooth except for a small anterior patch of rounded tubercles; posterior elytra may be missing and their positions sticky with adherent sand grains. The notosetae Sabre-like, with a single row of 8 to 12 denticles on the distal third of the blade and an abruptly pointed tip. The neurosetae Bidentate and slenderer than the notosetae; superior series with long, well-marked spinous rows and tips truncate with two subequal teeth; inferior series with shorter, less distinct spinous rows, a more hooked terminal tooth, and a much smaller secondary tooth. The cirri and antennae Antennae and cirri smooth; dorsal cirri evenly tapered and reaching the ends of the neurosetae. Identify the polychaete species.",Malmgrenia marquesensis,"Malmgrenia marquesensis Monro, 1928.",[chunk_000150]
"If the diagnostic characters are as follows The body Up to 30 mm long; purple when fresh, fading to dark brown in alcohol. The prostomium Bilobed without frontal peaks; anterior eyes lateral and positioned halfway back; median antenna with a subterminal swelling about half the prostomial size; lateral antennae slightly smaller; occipital fold well developed. The elytra Twenty-one pairs, large, oval to reniform; margins smooth; surface without tubercles or papillae but bearing white blister-like swellings near the posterior margin. The ventral structures Ventral lamella broad and rounded, as wide as the segment is long at the base of each parapodium. The antennae and cirri Smooth, each with a pear-shaped swelling just before the filiform tip. The notopodium  notosetae Notopodia well developed; notosetae serrated to their blunt tips. The neuropodium  neurosetae Neuropodia large; neurosetae unidentate with slightly hooked tips. Identify the polychaete species.",Gastrolepidia clavigera,Gastrolepidia clavigera,[chunk_000151]
"If the diagnostic characters are as follows The body Very long and fragile, reaching about 50 mm with more than 100 segments. The prostomium With frontal peaks; lateral antennae inserted subterminally; median antenna short and tapered; antennae and cirri bearing a few small papillae; occipital collar present. The elytra Up to 45 pairs covering the dorsum; each oval with smooth margins; surface glabrous except for a small anterior patch of rounded tubercles. The notosetae Few, curved, weakly serrated, and bluntly pointed. The neurosetae Stout and unidentate, with a few weak spinous rows and a long, curved, sharply pointed apex. The cirri Dorsal cirri short; cirrigerous segments possess T-shaped ciliated processes aligned with the elytrophores. Identify the polychaete species.",Acholoe squamosa,Acholoe squamosa,[chunk_000152]
"If the diagnostic characters are as follows The body Elongate and flattened, up to 35 mm long with about 80 segments; pale with intermittent reddish cross-bars. The prostomium Bilobed with prominent frontal peaks; lateral antennae inserted ventrally; median antenna extremely long (about five times prostomial length); lateral antennae about twice the prostomial length; anterior eyes lateral and positioned halfway back. The elytra About 20 pairs; deciduous; oval with entire margins and a glabrous surface. The notopodium Notopodium small and pointed; notosetae few, stout, weakly serrated, and ending in long pointed tips. The neuropodium Neuropodium large and pointed; neurosetae numerous, long, with rows of small spinules and long blade-shaped tips, occasionally bearing a minute secondary tooth. The antennae and cirri Long, slender, and smooth. Identify the polychaete species.",Polyeunoa laevis,"Polyeunoa laevis McIntosh, 1885",[chunk_000153]
"If the diagnostic characters are as follows The body About 50 mm long with numerous segments; posterior naked segments bear lateral rows of swellings but lack a median row. The prostomium Roughly square with poorly defined frontal peaks; anterior eyes partly hidden beneath the peaks; lateral antennae about equal to the prostomial length; median antenna about half as long. The elytra Half dark and half pale; a few small chitinous tubercles near the anterior margin. The notosetae Few (4 to 8), stout, blunt, and weakly serrated. The neurosetae Stout, unidentate, with a few rows of spinules. The antennae and cirri Covered with small clavate papillae. Identify the polychaete species.",Polynoe erythrotaenia,"Polynoe erythrotaenia Schmarda, 1861",[chunk_000154]
"If the diagnostic characters are as follows The body About 50 mm long with numerous segments; anterior half covered with speckled elytra, posterior half naked; each posterior segment bears a median swelling and two lateral swellings, often pigmented. The prostomium Hexagonal; large anterior eyes positioned well forward and often hidden by small prostomial peaks; median antenna about twice the prostomial length; lateral antennae slightly shorter than the prostomium. The elytra Speckled and blotched; external margin bearing a microscopic fringe; surface with conical chitinous tubercles. The notosetae Numerous, serrated, and tapered. The neurosetae Strongly bidentate; in posterior feet of adults, one or two superior neurosetae become enlarged and unidentate and may lose their spinules. The antennae and cirri With short papillae. Identify the polychaete species.",Polynoe scolopendrina,"Polynoe scolopendrina Savigny, 1822",[chunk_000155]
"If the diagnostic characters are as follows The body About 30 mm long with 36 segments. The prostomium Bilobed; large anterior eyes positioned immediately below the prostomial peaks and above the bases of the small lateral antennae; median antenna about twice the prostomial length; lateral antennae about three-quarters the prostomial length. The elytra Large, oval, with entire margins and smooth surfaces. The notopodium Notosetae numerous, long, fine, and minutely serrated, though some may appear smooth. The neuropodium Neuropodium with a pointed presetal lobe; neurosetae with numerous rows of small weak spinules and long, tapering, hair-like tips. The antennae and cirri Smooth; dorsal cirri arise from large cirrophores, cirrostyles long and tapered. Identify the polychaete species.",Antinoe epitoca,Antinoe epitoca,[chunk_000156]
"If the diagnostic characters are as follows The body Broad and flattened, up to 40 mm long with 36 segments; creamy white with crescentic brown markings on the large elytra. The prostomium Small with poorly developed peaks; small eyes; anterior pair of eyes positioned posterior to the prostomial peaks; median antenna slender and about twice the prostomial length; lateral antennae about three-quarters the prostomial length; palps short and stout. The elytra Fifteen pairs, completely covering the dorsum; large, oval, smooth except for a small anterior patch of minute tubercles. The cirri Dorsal cirri long and slender. The notopodium Notosetae of varied lengths; shorter ones fairly stout; longer ones slender and closely serrated to fine tips. The neuropodium Neuropodium with a long, pointed presetal lip; neurosetae strongly spinulose, tapering to long fine hair-like tips. Identify the polychaete species.",Antinoe lactea,"Antinoe lactea Day, 1953",[chunk_000157]
"If the diagnostic characters are as follows The body Up to 15 mm long with 45 to 50 segments; anterior end narrowed; dorsum arched and often bearing two dark longitudinal stripes. The prostomium Brown, markedly bilobed without frontal peaks; anterior eyes set well back and lateral; median antenna about twice the prostomial length; lateral antennae shorter, arising ventrally. The elytra About 15 pairs covering most of the dorsum, leaving ~12 posterior segments naked; individual elytra delicate with entire margins, smooth surfaces except for a few anterior small tubercles; coloration mauve with clear specks. The notopodium short and pointed; notosetae sabre-shaped with three to four small serrations or entirely smooth, terminating in stumpy bidentate tips. The neuropodium large, with a triangular presetal lobe and a shorter rounded postsetal lip; neurosetae of two types a few superior slender setae with faint serrations and bidentate tips, and numerous inferior setae with falcate unidentate tips and only slight serration traces beyond the spinous pocket. The antennae and cirri Smooth, slender, tapering to delicate tips; dorsal cirri extremely long, projecting to more than twice the length of the neurosetae. Identify the polychaete species.",Scalisetosus longicirrus,"Scalisetosus longicirrus Schmarda, 1861",[chunk_000158]
"If the diagnostic characters are as follows The body Short, depressed, extremely fragile, about 15 mm long. The prostomium Bilobed with rudimentary frontal peaks; anterior eyes large and positioned well back on the sides of the prostomium; median antenna about three times the prostomial length; lateral antennae only slightly longer than the prostomium. The elytra Oval, delicate, and strongly deciduous; when present, completely cover the body; surface covered with numerous minutes, weakly chitinised pedunculate tubercles and occasionally a few large spherical vesicles; margins with a very fine fringe. The notopodium short and stout; notosetae stout with ~10 coarse serrations, the basal serrations particularly enlarged; tips pointed and minutely flanged. The neuropodium long and pointed; neurosetae long, very transparent, with a large basal spinous pocket followed by additional pockets diminishing to coarse serrations distally; each neuroseta ends in a strong curved terminal tooth with a smaller secondary tooth. The antennae and cirri With short papillae and very long terminal filaments; dorsal cirri long, extending well beyond the neurosetae. Identify the polychaete species.",Scalisetosus fragilis,"Scalisetosus fragilis Claparède, 1868",[chunk_000159]
"If the diagnostic characters are as follows The body Pale, up to 15 mm long with 45 segments. The prostomium First pair of eyes positioned well forward and ventro-lateral to the prostomial peaks; lateral antennae about half the prostomial length; median antenna about twice the prostomial length. The elytra Fifteen pairs covering most of the dorsum; each with a network of brown pigment markings and smooth margins, Anterior elytra densely covered with minute rounded tubercles, Posterior elytra with only a small anterior patch of rounded tubercles. The notosetae much finer than neurosetae; appear smooth but bear very close-set minute serrations extending to the fine hairlike tips. The neurosetae with ~15 rows of delicate spinules almost to the blade tips; two superior neurosetae unidentate with tapered tips; remaining neurosetae bidentate; blade ends short and broad, appearing split because the secondary tooth is nearly as large as the apical one. The antennae and cirri Antennae and cirri with tapered tips and minute papillae; dorsal cirri short, flattened, and not reaching the tips of the neurosetae. Identify the polychaete species.",Gattyana mossambica,"Gattyana mossambica Day, 1962",[chunk_000160]
"If the diagnostic characters are as follows The body Brown, up to 25 mm long; adults with 46 segments, planktonic juveniles with fewer than 30; posterior segments tapered, with the last 9 to 10 segments lacking elytra. The prostomium With frontal peaks; first pair of eyes large and positioned about one-third of the way back; median antenna very long and slender; lateral antennae shorter, about twice the prostomial length. The elytra Pale, with smooth margins; surface covered with numerous minute conical tubercles; do not extend over the last 9 to 10 segments. The notosetae very long, stout, and held stiffly erect; crystalline in appearance; serrations reduced to ridges that half encircle the shaft, leaving the long pointed tips naked. The neurosetae slender, transparent, with long blades bearing numerous rows of spinules; tips long and naked, usually unidentate but sometimes with a minute secondary tooth. The antennae and cirri All antennae and cirri smooth; dorsal cirri long and slender. The pygidium bearing a voluminous caudal appendage. Identify the polychaete species.",Eunoe hubrechti,"Eunoe hubrechti McIntosh, 1900",[chunk_000161]
"If the diagnostic characters are as follows The body Broad but tapering posteriorly; up to 30 mm long with 30 to 70 segments. The prostomium With small frontal peaks; no eyes present; palps long. The elytra Large, delicate, mainly pale with smooth margins; each bearing a patch of small rounded tubercles near the anterior margin. The notosetae Few, very stout, with close-set rows of extremely weak serrations; tips long, pointed, and almost blade-like. The neurosetae Few, unidentate; blades short and somewhat swollen, with ~20 rows of short spinules before the long, slightly hooked naked tip; no secondary tooth present. The antennae and cirri Appearing smooth but actually bearing very short papillae. The antennae Lateral antennae strongly ventral in origin, about 1.5 times the prostomial length; Median antenna antero-dorsal, borne on a stout ceratophore, with a very slender ceratostyle more than three times the prostomial length. The dorsal cirri Tapered, reaching the ends of the neurosetae. Identify the polychaete species.",Eunoe assimilis,"Eunoe assimilis McIntosh, 1925",[chunk_000162]
"If the diagnostic characters are as follows The body Short and slightly tapered. The elytra Diaphanous, smooth, entire-margined; each bearing a patch of minute tubercles. The notosetae Stout, with rows of small serrations. The neurosetae Unidentate, with weakly marked spinules; long, almost straight tips lacking any secondary tooth. The antennae and cirri Dorsal cirri very long and slender; antennae and cirri otherwise slender and smooth (no additional ornamentation mentioned). The prostomium  eyes Eyes extremely large, covering most of the prostomium; lateral antennae short. Identify the polychaete species.",Eunoe macrophthalma,"Eunoe macrophthalma McIntosh, 1925",[chunk_000163]
"If the diagnostic characters are as follows The body Up to 25 mm long with 36 segments; dorsum fully covered by 15 pairs of tough brown elytra. The prostomium With well-defined frontal peaks; anterior eyes lateral; lateral antennae slightly longer than the prostomium; median antenna about twice the prostomial length. The elytra Large and tough, surface divided into polygonal areas; densely covered with conical chitinous tubercles of various sizes, including large multi-pointed spines (2 to 3 points); margins densely fringed with long papillae. The notosetae Very numerous, strongly serrated, ending in long pointed tips. The neurosetae Strongly bidentate, with the secondary tooth positioned well back along the blade. The antennae and cirri Densely clothed with long papillae. Identify the polychaete species.",Harmothoe dictyophora,Harmothoe dictyophora,[chunk_000164]
"If the diagnostic characters are as follows The body Up to 25 mm long with 35 segments; flesh pink in alcohol; elytra pale. The prostomium Hexagonal; large anterior eyes positioned immediately below the small prostomial peaks; median antenna ~1.4 times prostomial length; lateral antennae just over half the prostomial length, markedly tapered and papillose. The elytra Large, oval; lateral margins fringed with slender papillae; surface bears a few soft papillae but primarily covered with numerous cylindrical tubercles, each with 4 to 5 blunt projections giving a crown-like appearance; additional tubercles near the posterior margin capstan-shaped, ornamented with three saucer-like depressions with raised rims. The notosetae Stout, with a close-set series of strong serrations extending almost to the faintly flanged tips. The neurosetae Blades with 15 to 20 rows of fine spinules; tips bidentate in the superior series, with a broad, blade-like terminal tooth and a much shorter secondary tooth; inferior neurosetae become unidentate. The antennae and cirri Dorsal cirri about as long as the neurosetae; antennae and cirri covered with slender papillae. Identify the polychaete species.",Harmothoe antilopis,Harmothoe antilopis,[chunk_000165]
"If the diagnostic characters are as follows The body Oblong, up to 16 mm long with 38 segments; elytra extend to within six segments of the pygidium. The prostomium With large frontal peaks; first pair of eyes lateral and positioned halfway back; lateral antennae about three-quarters the prostomial length; median antenna about twice the prostomial length. The elytra Mottled brown; surface densely covered with truncate-cylindrical or capstan-shaped tubercles; margins with a small fringe. The notosetae Numerous, strongly serrated, ending in blunt tips with a shallow longitudinal groove. The neurosetae Bidentate; blades fairly long, with ~15 rows of well-developed spinules preceding the long naked tip; terminal tooth strong; secondary tooth long and slender. The antennae and cirri Papillose, each marked with two dark transverse bands. Identify the polychaete species.",Harmothoe gilchristi,Harmothoe gilchristi,[chunk_000166]
"If the diagnostic characters are as follows The body Small, about 10 mm long with 35 to 36 segments; body rusty brown; cirrophores conspicuously dark. The prostomium With sharp frontal peaks; anterior eyes lateral and positioned nearly halfway back; median antenna about twice the prostomial length; lateral antennae about one-third the length of the median. The elytra Fifteen to sixteen pairs covering the dorsum; oval, brown with a central dark spot or ring; margins fringed with papillae; surface bearing a few soft papillae and numerous short, bluntly conical tubercles. The notosetae Stout and strongly serrated; tips flanged and pointed. The neurosetae Strongly bidentate with a broad terminal tooth and a straight secondary tooth ~half its length; inferior neurosetae with a weak or absent secondary tooth. The antennae and cirri Papillose. Identify the polychaete species.",Harmothoe goreensis,Harmothoe goreensis,[chunk_000167]
"If the diagnostic characters are as follows The body Pale brown, tapering posteriorly, about 20 mm long. The prostomium With well-defined frontal peaks; first pair of eyes lateral and positioned halfway back; lateral antennae ventral in origin, tapered, papillose, and about two-thirds the prostomial length; median antenna not observed. The elytra Large, delicate, mottled brown; surface with a few long slender papillae; postero-lateral margins densely fringed with numerous papillae; elytral tubercles consist of sharp curved thorns of uniform size except for a row of larger thorns along the posterior margin. The notosetae Strongly serrated with pointed tips. The neurosetae With?20 well-developed spinules; distal ends long, naked, and blade-like; tips bidentate. The antennae and cirri Dorsal cirri long, extending beyond the neurosetal tips and covered with long papillae; ventral cirri very small. Identify the polychaete species.",Harmothoe lagiscoides serrata,"Harmothoe lagiscoides serrata Day, 1963",[chunk_000168]
"If the diagnostic characters are as follows The body Oblong, about 25 mm long with 39 segments; colour pale with a brown arc on each elytron; after the first three pairs, elytra no longer meet across the dorsum, leaving most of the back exposed. The prostomium With blunt frontal peaks; first pair of eyes positioned well back; median antenna large; lateral antennae short. The elytra Oval, longer than broad; smooth surface without marginal fringe; in midbody too small to contact each other, exposing most of the dorsum. The notosetae About 10 to 12 per fascicle; short, weakly serrated, with long blunt tips. The neurosetae Strongly bidentate, the secondary tooth nearly as long as the terminal one; in middle and posterior segments, the superior neuroseta becomes stouter and darker, lacks spinules, and transforms into an unidentate form. The antennae and cirri Dorsal cirri shorter than the neuropodia; antennae and cirri sparsely covered with a few lumpy papillae. The nephridial papillae Well developed, with conspicuously swollen bases. Identify the polychaete species.",Harmothoe saldanha,"Harmothoe saldanha Day, 1953",[chunk_000169]
"If the diagnostic characters are as follows The body Up to 35 mm long with 39 segments; broad; dorsum completely covered by 15 pairs of large elytra. The prostomium Brownish with small frontal peaks; eyes well separated, first pair antero-lateral; lateral antennae short and strongly tapered. The elytra Large, oval, longer than broad; surface glabrous and entire except for a few minute anterior tubercles; pale with a central spot and an incomplete crescentic ring of brown pigment. The notosetae Short, serrated to their blunt tips. The neurosetae Fine, with short blades; strongly bidentate, the secondary tooth long and aligned with the shaft. The antennae and cirri Antennae and cirri sparsely beset with small clavate papillae; dorsal cirri short and banded near the tip. Identify the polychaete species.",Harmothoe lunulata,Harmothoe lunulata,[chunk_000170]
"If the diagnostic characters are as follows The body Pale, relatively broad, up to 20 mm long with 39 to 40 segments; dorsum fully covered by 15 pairs of elytra. The prostomium With well-marked frontal peaks; first pair of eyes positioned well back; palps large; median antenna slender and about twice the prostomial length; lateral antennae about equal to the prostomium. The elytra Large and delicate with smooth margins; surface bearing a few small anterior tubercles and large blister-like swellings with a central nipple posterolaterally. The notosetae Numerous, closely serrated, ending in short blunt tips. The neurosetae Strongly bidentate; secondary tooth much smaller than the terminal one and diverging outward. The antennae and cirri With a few small papillae; dorsal cirri long, bearing a subterminal brown band. Identify the polychaete species.",Harmothoe fraseri-thomsoni,Harmothoe fraseri-thomsoni,[chunk_000171]
"If the diagnostic characters are as follows The body Up to 12 mm long with 36 segments; pale, with speckled elytra covering the dorsum. The prostomium With small frontal peaks; first pair of eyes lateral; lateral antennae short and stumpy; median antenna tapered and about equal to the prostomial length; tentacular cirri slender. The elytra Large, thin, speckled, reniform; surface with an anteromedial patch of small chitinous tubercles and scattered weakly chitinised blister-like tubercles elsewhere; margins smooth. The notosetae Densely serrated all the way to their blunt tips. The neurosetae With a strong terminal tooth and a slender secondary tooth about three-quarters the length of the terminal tooth. The antennae and cirri Sparsely covered with clavate papillae. Identify the polychaete species.",Harmothoe agulhana,"Harmothoe agulhana Day, 1960.",[chunk_000172]
"If the diagnostic characters are as follows The body 15 to 20 mm long with 35 segments; dorsum dark, elytra and parapodia pale. The prostomium With distinct frontal peaks; eyes large, first pair positioned well back and lateral; median antenna not observed; lateral antennae small, about half the prostomial length. The elytra Fifteen pairs covering the dorsum; rounded to oval; surface densely tuberculate, with tubercles increasing in size posteriorly to from small blunt cones anteriorly to large almost spherical tubercles near the posterior margin; largest tubercles smooth, smaller ones rugose or with blunt projections; margins with a few small papillae. The notopodium well developed; notosetae much stouter than neurosetae; strongly serrated with blunt flanged tips. The neuropodium Long blades with 15 to 20 rows of spinules; tips bidentate with a strong terminal tooth and a straight secondary tooth about half its length. The antennae and cirri Sparsely clothed with long papillae; dorsal cirri extending to the tips of the neurosetae. Identify the polychaete species.",Harmothoe profunda,"Harmothoe profunda Day, 1963",[chunk_000173]
"If the diagnostic characters are as follows The body Translucent, 5 to 8 mm long with ~30 segments. The prostomium Swollen posteriorly; first pair of eyes positioned well back; median antenna slender and more than twice the prostomial length; lateral antennae shorter. The elytra Deciduous, delicate, smooth; elytrophores stout. The notopodium Notopodium reduced to a small papilla containing the aciculum; no notosetae present. The neuropodium Presetal and postsetal lips equal; Superior neurosetae very slender with microscopic serrations; Inferior neurosetae shorter and stouter, with tapered unidentate blades and 5 to 6 weak spinous rows. The antennae and cirri Dorsal cirri with very long swollen cirrophores and slender cirrostyles. Identify the polychaete species.",Drieschia pelagica,Drieschia pelagica,[chunk_000174]
"If the diagnostic characters are as follows The body Broad, oval, up to 46 mm long with 26 segments. The prostomium Both pairs of eyes large, posterior, and close together; antennae long with small subterminal swellings; nuchal fold prominent. The elytra Twelve pairs, large, tough, reniform; lateral and posterior margins with a short fringe of papillae; surface bearing large pedunculate tubercles, often expanded into daisy-like forms. The notosetae Numerous, long, fine, silky, with blades completely ringed by minute spinules. The neurosetae Stout, unidentate, with long fine spinules giving the blades a distinctly bearded appearance. The nephridial papillae Well developed. The cirrigerous segments  paraelytrophores Cirrigerous segments possess paraelytrophores. The branchiae Segments 3 to 20 with ~3 small branchial papillae each. Identify the polychaete species.",Euphione elisabethae,Euphione elisabethae,[chunk_000175]
